chemicalID,recommendedUnit
1,ug.m-3
3,ugSO2.m-3
4,ug.m-3
5,ug.m-3
6,ug.m-3
7,ug.m-3
8,ug.m-3
9,ug.m-3
10,mg.m-3
11,ug.m-3
12,ug.m-3
13,ng.m-3
14,ng.m-3
15,ng.m-3
16,ng.m-3
17,ng.m-3
18,ng.m-3
19,ug.m-3
20,ug.m-3
21,ug.m-3
22,ug.m-3
23,ug.m-3
24,ug.m-3
25,ug.m-3
26,ug.m-3
27,ug.m-3
28,ug.m-3
29,ng.l-1
30,ng.m-3
31,ug.m-3
32,ugC.m-3
33,ug.m-3
34,ug.m-3
35,ug.m-3
36,mgN.m-2.m-1
37,mgS.m-2.m-1
38,ug.m-3
39,ug.m-3
40,ug.m-3
41,ug.m-3
42,nothing
44,ug.m-3
45,ug.m-3
46,ug.m-3
47,ug.m-3
48,ng.m-3
49,ng.m-3
50,ug.m-3
51,ug.m-3
52,ug.m-3
53,ug.m-3
54,ug.m-3
62,ug.m-3
63,ng.m-3
64,ng.m-3
65,ng.m-3
66,m-1
67,ugN.m-3
68,ugN.m-3
69,Bq
71,ppmv
73,ng.m-3
78,ug.m-3
80,ug.m-3
81,ug.m-3
82,ug.m-3
83,ug.m-3
302,pptv
303,pptv
304,pptv
307,pptv
308,pptv
309,ng.m-3
310,ng.m-3
311,ug.m-3
312,ug.m-3
313,ng.m-3
314,ug.m-3
315,ng.m-3
316,ug.m-3
317,ng.m-3
318,ug.m-3
319,ug.m-3
320,ug.m-3
321,ug.m-3
322,ug.m-3
323,pptv
324,ug.m-3
326,ugN.m-3
330,ng.l-1
333,ng.l-1
336,ng.l-1
339,ng.l-1
340,ng.l-1
341,ng.l-1
344,ng.l-1
347,ng.l-1
348,ng.l-1
351,ng.m-3
352,ng.m-3
356,ng.l-1
364,ng.m-3
372,ug.m-3
373,ng.m-3
374,ug.m-3
380,ng.m-3
381,ng.m-3
382,ng.m-3
390,ng.m-3
391,ug.m-3
393,ug.m-3
394,ug.m-3
395,pptv
396,ug.m-3
401,pptv
406,ng.l-1
412,uS.cm-1
415,ng.m-3
416,pptv
417,ng.m-3
418,ng.l-1
419,ng.l-1
420,ng.m-3
421,ng.m-3
425,ppbv
426,ng.l-1
427,ug.m-3
428,ug.m-3
429,ug.m-3
430,ug.m-3
431,ug.m-3
432,ug.m-3
433,ug.m-3
434,ug.m-3
435,ng.m-3
438,pptv
439,pptv
440,ng.l-1
441,ug.m-3
442,ug.m-3
443,ug.m-3
447,ug.m-3
448,ug.m-3
449,ug.m-3
450,ug.m-3
451,ug.m-3
453,ug.m-3
454,ug.m-3
455,ug.m-3
456,ug.m-3
457,ug.m-3
458,ug.m-3
459,ug.m-3
460,ug.m-3
461,ug.m-3
462,ug.m-3
463,pptv
464,ug.m-3
465,ng.m-3
466,pptv
467,pptv
475,ug.m-3
482,ug.m-3
485,ug.m-3
486,ug.m-3
487,pptv
488,ng.m-3
491,ug.m-3
501,nothing
502,ug.m-3
503,ug.m-3
504,ug.m-3
505,ug.m-3
506,ug.m-3
507,ug.m-3
508,ng.m-3
509,ug.m-3
517,ng.l-1
520,ugS.m-3
601,ng.m-3
602,ng.m-3
604,ng.m-3
605,ug.l-1
606,ng.m-3
607,ng.l-1
608,ug.m-2.day-1
609,ng.m-3
610,ng.l-1
611,ug.m-2.day-1
613,ng.m-3
616,ng.m-3
617,ng.l-1
618,ug.m-2.day-1
619,ng.m-3
620,ng.m-3
621,ng.l-1
622,ng.m-3
623,ng.l-1
624,ug.m-2.day-1
625,ng.m-3
626,ng.l-1
627,ug.m-2.day-1
629,ug.m-3
630,mg.l-1
631,ug.m-3
632,mg.l-1
633,ng.m-3
634,ng.l-1
635,ng.l-1
636,ng.m-3
637,ng.m-3
638,ng.m-3
639,ng.l-1
640,pg.m-3
641,ng.l-1
643,ng.m-3
644,ng.l-1
645,ug.m-2.day-1
648,ueH.l-1
649,pg.m-3
650,ng.l-1
652,ng.l-1
653,ng.m-3
654,ng.m-3
655,ng.l-1
656,ug.m-2.day-1
657,ug.m-3
658,mg.l-1
659,ug.m-3
660,mg.l-1
661,ng.m-3
664,mgN.l-1
666,mgN.l-1
667,mgN.l-1
668,ug.m-3
669,mg.l-1
670,pg.m-3
671,ng.l-1
672,ng.m-2.day-1
673,pg.m-3
674,pg.m-3
675,ng.l-1
676,ng.m-2.day-1
677,pg.m-3
678,ng.m-2.day-1
679,pg.m-3
680,pg.m-3
681,ng.l-1
682,ng.m-2.day-1
683,pg.m-3
684,pg.m-3
685,pg.m-3
686,pg.m-3
687,ng.l-1
688,ng.m-2.day-1
689,pg.m-3
690,pg.m-3
691,pg.m-3
692,pg.m-3
693,pg.m-3
694,pg.m-3
695,pg.m-3
696,ng.l-1
697,ng.m-2.day-1
698,pg.m-3
699,pg.m-3
700,pg.m-3
701,pg.m-3
702,ng.l-1
703,ng.m-2.day-1
704,pg.m-3
705,pg.m-3
706,pg.m-3
707,pg.m-3
708,pg.m-3
709,pg.m-3
710,pg.m-3
711,ng.l-1
712,ng.m-3
713,ng.l-1
714,ug.m-2.day-1
715,ng.m-3
716,ng.l-1
717,ug.m-2.day-1
719,mgS.l-1
720,mgS.m-1
723,ug.l-1
728,ug.l-1
729,pg.m-3
730,ng.l-1
731,ng.m-2.day-1
732,pg.m-3
733,ng.l-1
734,pg.m-3
735,ng.l-1
736,pg.m-3
737,pg.m-3
738,ng.m-2.day-1
739,ng.l-1
741,ng.l-1
742,ng.l-1
743,ng.l-1
744,pg.m-3
745,pg.m-3
746,pg.m-3
747,ng.l-1
748,ng.l-1
749,ng.l-1
750,pg.m-3
751,pg.m-3
752,pg.m-3
753,mm
754,mm
755,pg.m-3
756,ng.l-1
757,pg.m-3
758,ng.l-1
759,ng.l-1
760,ug.m-2.day-1
761,ng.m-3
762,ng.m-3
763,ng.m-3
771,ug.m-3
772,ug.m-3
773,pg.m-3
774,pg.m-3
775,pg.m-3
776,pg.m-3
777,pg.m-3
778,pg.m-3
779,pg.m-3
780,pg.m-3
1012,ug.m-3
1013,ng.m-3
1014,ng.m-3
1015,ng.m-3
1016,ng.m-3
1017,ng.m-3
1018,ng.m-3
1029,ng.m-3
1045,ug.m-3
1046,ug.m-3
1047,ug.m-3
1048,ng.m-3
1049,ng.m-3
1063,ng.m-3
1064,ng.m-3
1065,ng.m-3
1073,ng.m-3
1129,ng.m-3
1406,ng.m-3
1419,ng.m-3
1606,ng.m-3
1610,ng.m-3
1616,ng.m-3
1617,ng.m-3
1623,ng.m-3
1626,ng.m-3
1629,ug.m-3
1631,ug.m-3
1643,ng.m-3
1655,ng.m-3
1657,ug.m-3
1659,ug.m-3
1668,ug.m-3
1712,ng.m-3
1715,ng.m-3
1759,ng.m-3
1771,ug.m-3
1772,ug.m-3
2012,ug.l-1
2013,ng.l-1
2014,ug.l-1
2015,ug.l-1
2016,ug.l-1
2017,ug.l-1
2018,ug.l-1
2044,mgN.l-1
2063,ug.l-1
2064,ug.l-1
2065,ug.l-1
2073,ug.l-1
2076,pHunits
2380,ng.l-1
2770,mgS.m-1
2771,mg.l-1
2861,ng.l-1
2862,ng.l-1
2863,ng.l-1
2864,ng.l-1
2865,ng.l-1
2866,ng.l-1
2867,ng.l-1
2868,ng.l-1
2871,ng.l-1
2872,ng.l-1
2873,ng.l-1
2874,ng.l-1
2875,ng.l-1
2876,ng.l-1
3012,ug.m-3
3013,ng.m-3
3014,ng.m-3
3015,ng.m-3
3016,ng.m-3
3017,ng.m-3
3018,ng.m-3
3063,ng.m-3
3073,ng.m-3
