chemicalID,name,validity,date,chemicalCode
1,Sulphur dioxide (air),Valid,20.09.2013,SO2
3,Strong acidity (air),Valid,20.09.2013,SA
4,Total suspended particulates (aerosol),Valid,20.09.2013,SPM
5,Particulate matter < 10 µm (aerosol),Valid,20.09.2013,PM10
6,Black smoke (air),Valid,20.09.2013,BS
7,Ozone (air),Valid,20.09.2013,O3
8,Nitrogen dioxide (air),Valid,20.09.2013,NO2
9,Nitrogen oxides (air),Valid,20.09.2013,NOX as NO2
10,Carbon monoxide (air),Valid,20.09.2013,CO
11,Hydrogen sulphide (air),Valid,20.09.2013,H2S
12,Lead (aerosol),Valid,20.09.2013,Pb
13,Mercury (aerosol),Valid,20.09.2013,Hg
14,Cadmium (aerosol),Valid,20.09.2013,Cd
15,Nickel (aerosol),Valid,20.09.2013,Ni
16,Chromium (aerosol),Valid,20.09.2013,Cr
17,Manganese (aerosol),Valid,20.09.2013,Mn
18,Arsenic (aerosol),Valid,20.09.2013,As
19,Carbon disulphide (air),Valid,20.09.2013,CS2
20,Benzene (air),Valid,20.09.2013,C6H6
21,Toluene (air),Valid,20.09.2013,C6H5-CH3
22,Styrene (air),Valid,20.09.2013,C6H5-CH=CH2
23,Acrylonitrile (air),Valid,20.09.2013,CH2=CH-CN
24,1.3 Butadiene (air),Valid,20.09.2013,CH2=CH-CH=CH2
25,Formaldehyde (air),Valid,20.09.2013,HCHO
26,Trichloroethylene (air),Valid,20.09.2013,CHCl=CCl2
27,Tetrachloroethylene (air),Valid,20.09.2013,C2Cl4
28,Dichloromethane (air),Valid,20.09.2013,CH2Cl2
29,Benzo(a)pyrene (precip),Valid,20.09.2013,BaP
30,Polyaromatic hydrocarbons (air+aerosol),Valid,20.09.2013,PAH
31,Vinyl chloride (air),Valid,20.09.2013,VC
32,Total non-methane hydrocarbons (air),Valid,20.09.2013,THC (NM)
33,Total volatile organic compounds (air),Valid,20.09.2013,T-VOC
34,Peroxyacetyl nitrate (air),Valid,20.09.2013,PAN
35,Ammonia (air),Valid,20.09.2013,NH3
36,Wet nitrogen deposition (flux),Valid,20.09.2013,N-DEP
37,Wet sulphur deposition (flux),Valid,20.09.2013,S-DEP
38,Nitrogen monoxide (air),Valid,20.09.2013,NO
39,Hydrogen chloride (air),Valid,20.09.2013,HCl
40,Hydrogen fluoride (air),Valid,20.09.2013,HF
41,Methane (air),Valid,20.09.2013,CH4
