"INDICATOR","HFA_221"

"HFA_221","Bronchitis/emphysema/asthma, all ages, per 100 000, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","3.61"
"ALB","","ALL","1988","2.98"
"ALB","","ALL","1989","4"
"ALB","","ALL","1992","4.32"
"ALB","","ALL","1993","4.71"
"ALB","","ALL","1994","3.18"
"ALB","","ALL","1995","2.44"
"ALB","","ALL","1996","2.51"
"ALB","","ALL","1997","2.19"
"ALB","","ALL","1998","1.79"
"ALB","","ALL","1999","1.91"
"ALB","","ALL","2000","2.63"
"ALB","","ALL","2001","1.41"
"ALB","","ALL","2002","1.84"
"ALB","","ALL","2003","1.93"
"ALB","","ALL","2004","1.57"
"ALB","","ALL","2005","0.95"
"ALB","","ALL","2006","1.46"
"ALB","","ALL","2007","0.58"
"ALB","","ALL","2008","0.65"
"ALB","","ALL","2009","0.9"
"ARM","","ALL","1981","72.01"
"ARM","","ALL","1982","59.66"
"ARM","","ALL","1985","54.37"
"ARM","","ALL","1986","65.92"
"ARM","","ALL","1987","51.88"
"ARM","","ALL","1988","52.93"
"ARM","","ALL","1989","45.99"
"ARM","","ALL","1990","48.3"
"ARM","","ALL","1991","41.67"
"ARM","","ALL","1992","40.95"
"ARM","","ALL","1993","54.88"
"ARM","","ALL","1994","44.91"
"ARM","","ALL","1995","49.61"
"ARM","","ALL","1996","53.96"
"ARM","","ALL","1997","46.39"
"ARM","","ALL","1998","37.54"
"ARM","","ALL","1999","42.17"
"ARM","","ALL","2000","42.48"
"ARM","","ALL","2001","37.51"
"ARM","","ALL","2002","45.47"
"ARM","","ALL","2003","48.35"
"ARM","","ALL","2007","5.81"
"ARM","","ALL","2012","4.6"
"ARM","","ALL","2013","4.35"
"ARM","","ALL","2014","4.16"
"ARM","","ALL","2015","5"
"ARM","","ALL","2016","4.44"
"ARM","","ALL","2017","2.83"
"ARM","","ALL","2018","1.95"
"ARM","","ALL","2019","1.96"
"ARM","","ALL","2022","1.38"
"AUT","","ALL","1969","7.54"
"AUT","","ALL","1970","6.08"
"AUT","","ALL","1971","4.37"
"AUT","","ALL","1972","3.94"
"AUT","","ALL","1973","4.2"
"AUT","","ALL","1974","3.81"
"AUT","","ALL","1975","4.62"
"AUT","","ALL","1976","4.31"
"AUT","","ALL","1977","4.28"
"AUT","","ALL","1978","4.01"
"AUT","","ALL","1979","3.92"
"AUT","","ALL","1980","4.01"
"AUT","","ALL","1981","4.3"
"AUT","","ALL","1982","4.24"
"AUT","","ALL","1983","5.25"
"AUT","","ALL","1984","5.25"
"AUT","","ALL","1985","5.28"
"AUT","","ALL","1986","5.12"
"AUT","","ALL","1987","4.56"
"AUT","","ALL","1988","3.91"
"AUT","","ALL","1989","3.75"
"AUT","","ALL","1990","3.91"
"AUT","","ALL","1991","3.7"
"AUT","","ALL","1992","3.14"
"AUT","","ALL","1993","3.23"
"AUT","","ALL","1994","2.47"
"AUT","","ALL","1995","2.54"
"AUT","","ALL","1996","2.31"
"AUT","","ALL","1997","2.17"
"AUT","","ALL","1998","2.12"
"AUT","","ALL","1999","2.14"
"AUT","","ALL","2000","2.25"
"AUT","","ALL","2001","1.79"
"AUT","","ALL","2002","3.69"
"AUT","","ALL","2003","4.51"
"AUT","","ALL","2004","4.03"
"AUT","","ALL","2005","3.69"
"AUT","","ALL","2006","4.48"
"AUT","","ALL","2007","4.53"
"AUT","","ALL","2008","3.92"
"AUT","","ALL","2009","3.64"
"AUT","","ALL","2010","3.72"
"AUT","","ALL","2011","3.76"
"AUT","","ALL","2012","3.47"
"AUT","","ALL","2013","4.07"
"AUT","","ALL","2014","2.97"
"AUT","","ALL","2015","3.67"
"AUT","","ALL","2016","3.21"
"AUT","","ALL","2017","3.56"
"AUT","","ALL","2018","4.03"
"AUT","","ALL","2019","3.39"
"AUT","","ALL","2020","3.24"
"AUT","","ALL","2021","3.03"
"AZE","","ALL","1981","44.43"
"AZE","","ALL","1982","41.68"
"AZE","","ALL","1985","40.76"
"AZE","","ALL","1986","38.24"
"AZE","","ALL","1987","28.27"
"AZE","","ALL","1988","34.31"
"AZE","","ALL","1989","45.13"
"AZE","","ALL","1990","42.08"
"AZE","","ALL","1991","35.71"
"AZE","","ALL","1992","43.05"
"AZE","","ALL","1993","49.91"
"AZE","","ALL","1994","52.24"
"AZE","","ALL","1995","47.9"
"AZE","","ALL","1996","47.88"
"AZE","","ALL","1997","39.53"
"AZE","","ALL","1998","38.39"
"AZE","","ALL","1999","36.19"
"AZE","","ALL","2000","39.02"
"AZE","","ALL","2007","1.32"
"BEL","","ALL","1968","6.74"
"BEL","","ALL","1969","8.64"
"BEL","","ALL","1970","9.05"
"BEL","","ALL","1971","8.48"
"BEL","","ALL","1972","8.05"
"BEL","","ALL","1973","8.04"
"BEL","","ALL","1974","7.2"
"BEL","","ALL","1975","7.26"
"BEL","","ALL","1976","7.36"
"BEL","","ALL","1977","7.17"
"BEL","","ALL","1978","7.08"
"BEL","","ALL","1979","7.1"
"BEL","","ALL","1980","7.61"
"BEL","","ALL","1981","6.23"
"BEL","","ALL","1982","6.76"
"BEL","","ALL","1983","6.66"
"BEL","","ALL","1984","6.11"
"BEL","","ALL","1985","7.13"
"BEL","","ALL","1986","6.85"
"BEL","","ALL","1987","5.65"
"BEL","","ALL","1988","4.69"
"BEL","","ALL","1989","3.91"
"BEL","","ALL","1990","3.27"
"BEL","","ALL","1991","3.7"
"BEL","","ALL","1992","3.77"
"BEL","","ALL","1993","3"
"BEL","","ALL","1994","3.12"
"BEL","","ALL","1995","3.34"
"BEL","","ALL","1996","3.19"
"BEL","","ALL","1997","2.41"
"BEL","","ALL","1998","7.01"
"BEL","","ALL","1999","5.87"
"BEL","","ALL","2000","5.57"
"BEL","","ALL","2001","5.77"
"BEL","","ALL","2002","5.76"
"BEL","","ALL","2003","5.93"
"BEL","","ALL","2004","5.1"
"BEL","","ALL","2005","5.38"
"BEL","","ALL","2006","4.69"
"BEL","","ALL","2007","5.13"
"BEL","","ALL","2008","5.47"
"BEL","","ALL","2009","5.34"
"BEL","","ALL","2010","5.12"
"BEL","","ALL","2011","5.15"
"BEL","","ALL","2012","4.69"
"BEL","","ALL","2013","5.17"
"BEL","","ALL","2014","4.14"
"BEL","","ALL","2015","4.64"
"BEL","","ALL","2016","4.58"
"BEL","","ALL","2017","3.98"
"BEL","","ALL","2018","4.4"
"BEL","","ALL","2019","4.11"
"BEL","","ALL","2020","3.69"
"BGR","","ALL","1968","13.53"
"BGR","","ALL","1969","15.04"
"BGR","","ALL","1970","12.75"
"BGR","","ALL","1971","14.65"
"BGR","","ALL","1972","12.94"
"BGR","","ALL","1973","11.41"
"BGR","","ALL","1974","12.04"
"BGR","","ALL","1975","11.91"
"BGR","","ALL","1976","10.91"
"BGR","","ALL","1977","11.51"
"BGR","","ALL","1978","11.25"
"BGR","","ALL","1979","11.96"
"BGR","","ALL","1980","9.82"
"BGR","","ALL","1981","7.1"
"BGR","","ALL","1982","6.62"
"BGR","","ALL","1983","6.38"
"BGR","","ALL","1984","6.46"
"BGR","","ALL","1985","6.29"
"BGR","","ALL","1986","5.07"
"BGR","","ALL","1987","4.68"
"BGR","","ALL","1988","3.99"
"BGR","","ALL","1989","4.12"
"BGR","","ALL","1990","2.97"
"BGR","","ALL","1991","2.77"
"BGR","","ALL","1992","2.75"
"BGR","","ALL","1993","2.62"
